waypoint1	waypoint2	distance_m	duration_s
Inverness, United Kingdom	Pag, Croatia	2851980	103391
Ballybunion, Ireland	Pag, Croatia	2822151	109477
Cliffs of Moher, Clare, Ireland	Pag, Croatia	2820160	109312
Cornwall, England	Pag, Croatia	2330863	85446
Stonehenge, Amesbury, United Kingdom	Pag, Croatia	2052093	74389
London, United Kingdom	Pag, Croatia	1928408	71422
Brussels, Belgium	Pag, Croatia	1583220	56906
Paris, France	Pag, Croatia	1469101	57170
Pamplona, Spain	Pag, Croatia	1884105	71891
Lagos, Portugal	Pag, Croatia	2854971	102342
Granada, Spain	Pag, Croatia	2469957	89485
Ibiza, Spain	Pag, Croatia	2161841	85307
Barcelona, Spain	Pag, Croatia	1594733	62272
Luberone, Bonnieux, France	Pag, Croatia	1157747	48442
Nice, France	Pag, Croatia	929632	39909
Monte Carlo, Monaco	Pag, Croatia	915662	39527
Interlaken, Switzerland	Pag, Croatia	879262	40166
Venice, Italy	Tuscany, Italy	257796	10060
Venice, Italy	Florence, Italy	268211	10377
Venice, Italy	Rome, Italy	525901	18909
Venice, Italy	Vatican City	530606	19030
Venice, Italy	Amalfi, Italy	774683	28639
Venice, Italy	Gozo, Malta	1582166	71196
Venice, Italy	Dubrovnik, Croatia	832294	32077
Venice, Italy	Santorini, Thira, Greece	2186731	101217
Venice, Italy	Rila Monastery, Rilski manastir, Bulgaria	1260314	46293
Venice, Italy	Istanbul, Turkey	1717108	61370
Venice, Italy	Sighisoara, Mures County, Romania	1340605	47723
Venice, Italy	Budapest, Hungary	704194	23907
Venice, Italy	Vienna, Austria	610088	21403
Venice, Italy	Prague, Czech Republic	813775	30884
Venice, Italy	Krakow, Poland	1069719	37773
Venice, Italy	Jägala Waterfall, 74205 Harjumaa, Estonia	2302842	91820
Venice, Italy	Lapland, Finland	3507675	135751
Venice, Italy	ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	3397130	129717
Venice, Italy	Bergen, Norway	2508902	103654
Venice, Italy	Copenhagen, Denmark	1529170	60109
