waypoint1	waypoint2	distance_m	duration_s
Inverness, United Kingdom	Rila Monastery, Rilski manastir, Bulgaria	3512289	126890
Ballybunion, Ireland	Rila Monastery, Rilski manastir, Bulgaria	3482459	132975
Cliffs of Moher, Clare, Ireland	Rila Monastery, Rilski manastir, Bulgaria	3480468	132811
Cornwall, England	Rila Monastery, Rilski manastir, Bulgaria	2991172	108945
Stonehenge, Amesbury, United Kingdom	Rila Monastery, Rilski manastir, Bulgaria	2712402	97888
London, United Kingdom	Rila Monastery, Rilski manastir, Bulgaria	2588716	94921
Brussels, Belgium	Rila Monastery, Rilski manastir, Bulgaria	2215490	79165
Paris, France	Rila Monastery, Rilski manastir, Bulgaria	2273563	80628
Pamplona, Spain	Rila Monastery, Rilski manastir, Bulgaria	2773569	97725
Lagos, Portugal	Rila Monastery, Rilski manastir, Bulgaria	3744435	128176
Granada, Spain	Rila Monastery, Rilski manastir, Bulgaria	3359421	115319
Ibiza, Spain	Rila Monastery, Rilski manastir, Bulgaria	3051305	111140
Barcelona, Spain	Rila Monastery, Rilski manastir, Bulgaria	2484197	88106
Luberone, Bonnieux, France	Rila Monastery, Rilski manastir, Bulgaria	2047211	74276
Nice, France	Rila Monastery, Rilski manastir, Bulgaria	1819095	65743
Monte Carlo, Monaco	Rila Monastery, Rilski manastir, Bulgaria	1805126	65361
Interlaken, Switzerland	Rila Monastery, Rilski manastir, Bulgaria	1768726	66000
Sighisoara, Mures County, Romania	Istanbul, Turkey	965774	44550
Budapest, Hungary	Istanbul, Turkey	1328080	48887
Vienna, Austria	Istanbul, Turkey	1562840	56477
Prague, Czech Republic	Istanbul, Turkey	1844736	65692
Krakow, Poland	Istanbul, Turkey	1722490	69111
Jägala Waterfall, 74205 Harjumaa, Estonia	Istanbul, Turkey	3204264	123725
Lapland, Finland	Istanbul, Turkey	4605654	176493
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Istanbul, Turkey	4495110	170460
Bergen, Norway	Istanbul, Turkey	3637213	144941
Copenhagen, Denmark	Istanbul, Turkey	2627149	100852
Berlin, Germany	Istanbul, Turkey	2193311	78904
Amsterdam, Netherlands	Istanbul, Turkey	2716494	95814
Keukenhof, Stationsweg, Lisse, Netherlands	Istanbul, Turkey	2742663	96573
Edinburgh, United Kingdom	Istanbul, Turkey	3672964	132625
Inverness, United Kingdom	Istanbul, Turkey	3969209	141893
Ballybunion, Ireland	Istanbul, Turkey	3939380	147979
Cliffs of Moher, Clare, Ireland	Istanbul, Turkey	3937389	147814
Cornwall, England	Istanbul, Turkey	3448092	123948
Stonehenge, Amesbury, United Kingdom	Istanbul, Turkey	3169322	112892
London, United Kingdom	Istanbul, Turkey	3045637	109924
Brussels, Belgium	Istanbul, Turkey	2672411	94169
Paris, France	Istanbul, Turkey	2730483	95632
Pamplona, Spain	Istanbul, Turkey	3230490	112728
Lagos, Portugal	Istanbul, Turkey	4201355	143180
Granada, Spain	Istanbul, Turkey	3816341	130323
Ibiza, Spain	Istanbul, Turkey	3508225	126144
Barcelona, Spain	Istanbul, Turkey	2941117	103110
Luberone, Bonnieux, France	Istanbul, Turkey	2504131	89280
Nice, France	Istanbul, Turkey	2276016	80746
Monte Carlo, Monaco	Istanbul, Turkey	2262046	80365
Interlaken, Switzerland	Istanbul, Turkey	2225646	81004
Budapest, Hungary	Sighisoara, Mures County, Romania	647805	25180
Vienna, Austria	Sighisoara, Mures County, Romania	882564	32770
Prague, Czech Republic	Sighisoara, Mures County, Romania	1164461	41985
Krakow, Poland	Sighisoara, Mures County, Romania	826765	40459
Jägala Waterfall, 74205 Harjumaa, Estonia	Sighisoara, Mures County, Romania	1959677	97952
Lapland, Finland	Sighisoara, Mures County, Romania	3022087	151160
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Sighisoara, Mures County, Romania	3814835	146753
Bergen, Norway	Sighisoara, Mures County, Romania	2956938	121234
Copenhagen, Denmark	Sighisoara, Mures County, Romania	1946874	77145
Berlin, Germany	Sighisoara, Mures County, Romania	1513036	55198
Amsterdam, Netherlands	Sighisoara, Mures County, Romania	2036219	72107
Keukenhof, Stationsweg, Lisse, Netherlands	Sighisoara, Mures County, Romania	2062388	72866
Edinburgh, United Kingdom	Sighisoara, Mures County, Romania	2992689	108918
Inverness, United Kingdom	Sighisoara, Mures County, Romania	3288934	118186
Ballybunion, Ireland	Sighisoara, Mures County, Romania	3259105	124272
Cliffs of Moher, Clare, Ireland	Sighisoara, Mures County, Romania	3257114	124107
Cornwall, England	Sighisoara, Mures County, Romania	2767817	100241
Stonehenge, Amesbury, United Kingdom	Sighisoara, Mures County, Romania	2489047	89185
London, United Kingdom	Sighisoara, Mures County, Romania	2365362	86217
Brussels, Belgium	Sighisoara, Mures County, Romania	1992136	70462
Paris, France	Sighisoara, Mures County, Romania	2124695	74348
Pamplona, Spain	Sighisoara, Mures County, Romania	2853171	99069
Lagos, Portugal	Sighisoara, Mures County, Romania	3824037	129520
Granada, Spain	Sighisoara, Mures County, Romania	3439023	116663
Ibiza, Spain	Sighisoara, Mures County, Romania	3130907	112484
Barcelona, Spain	Sighisoara, Mures County, Romania	2563799	89450
Luberone, Bonnieux, France	Sighisoara, Mures County, Romania	2126813	75620
Nice, France	Sighisoara, Mures County, Romania	1898697	67087
Monte Carlo, Monaco	Sighisoara, Mures County, Romania	1884728	66705
Interlaken, Switzerland	Sighisoara, Mures County, Romania	1753473	63930
Vienna, Austria	Budapest, Hungary	242975	8934
Budapest, Hungary	Prague, Czech Republic	524872	18149
Budapest, Hungary	Krakow, Poland	397991	21797
Jägala Waterfall, 74205 Harjumaa, Estonia	Budapest, Hungary	1884399	76182
Lapland, Finland	Budapest, Hungary	3285789	128950
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Budapest, Hungary	3175245	122917
Bergen, Norway	Budapest, Hungary	2317349	97397
Budapest, Hungary	Copenhagen, Denmark	1307285	53308
Berlin, Germany	Budapest, Hungary	873446	31361
Budapest, Hungary	Amsterdam, Netherlands	1396630	48271
Budapest, Hungary	Keukenhof, Stationsweg, Lisse, Netherlands	1422799	49030
Edinburgh, United Kingdom	Budapest, Hungary	2353099	85081
Inverness, United Kingdom	Budapest, Hungary	2649344	94350
Ballybunion, Ireland	Budapest, Hungary	2619515	100436
Budapest, Hungary	Cliffs of Moher, Clare, Ireland	2617524	100271
Cornwall, England	Budapest, Hungary	2128228	76405
Stonehenge, Amesbury, United Kingdom	Budapest, Hungary	1849458	65348
London, United Kingdom	Budapest, Hungary	1725772	62381
Brussels, Belgium	Budapest, Hungary	1352546	46625
Budapest, Hungary	Paris, France	1485106	50511
Pamplona, Spain	Budapest, Hungary	2216743	75350
Lagos, Portugal	Budapest, Hungary	3187609	105801
Granada, Spain	Budapest, Hungary	2802595	92944
Ibiza, Spain	Budapest, Hungary	2494479	88766
Barcelona, Spain	Budapest, Hungary	1927371	65731
Budapest, Hungary	Luberone, Bonnieux, France	1490385	51901
Budapest, Hungary	Nice, France	1262269	43368
Budapest, Hungary	Monte Carlo, Monaco	1248300	42986
Interlaken, Switzerland	Budapest, Hungary	1113884	40094
Vienna, Austria	Prague, Czech Republic	291222	13230
Vienna, Austria	Krakow, Poland	470325	17801
Vienna, Austria	Jägala Waterfall, 74205 Harjumaa, Estonia	1703449	71849
Vienna, Austria	Lapland, Finland	3052140	124031
Vienna, Austria	ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	2941596	117998
Vienna, Austria	Bergen, Norway	2083699	92478
Vienna, Austria	Copenhagen, Denmark	1073635	48389
Vienna, Austria	Berlin, Germany	639797	26442
Vienna, Austria	Amsterdam, Netherlands	1147881	40721
Vienna, Austria	Keukenhof, Stationsweg, Lisse, Netherlands	1174050	41480
Vienna, Austria	Edinburgh, United Kingdom	2104350	77532
Vienna, Austria	Inverness, United Kingdom	2400596	86800
Vienna, Austria	Ballybunion, Ireland	2370766	92886
Vienna, Austria	Cliffs of Moher, Clare, Ireland	2368775	92721
Vienna, Austria	Cornwall, England	1879479	68856
Vienna, Austria	Stonehenge, Amesbury, United Kingdom	1600709	57799
Vienna, Austria	London, United Kingdom	1477023	54831
Vienna, Austria	Brussels, Belgium	1103797	39076
Vienna, Austria	Paris, France	1236357	42962
Vienna, Austria	Pamplona, Spain	2046458	71324
Vienna, Austria	Lagos, Portugal	3092434	103302
Vienna, Austria	Granada, Spain	2707420	90444
Vienna, Austria	Ibiza, Spain	2399304	86266
Vienna, Austria	Barcelona, Spain	1832196	63232
Vienna, Austria	Luberone, Bonnieux, France	1395210	49402
Vienna, Austria	Nice, France	1167094	40868
Vienna, Austria	Monte Carlo, Monaco	1153125	40487
Vienna, Austria	Interlaken, Switzerland	865135	32544
Prague, Czech Republic	Krakow, Poland	534977	18947
Jägala Waterfall, 74205 Harjumaa, Estonia	Prague, Czech Republic	1673178	69373
Lapland, Finland	Prague, Czech Republic	2761801	111122
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Prague, Czech Republic	2651257	105089
Bergen, Norway	Prague, Czech Republic	1793360	79569
Prague, Czech Republic	Copenhagen, Denmark	783296	35480
Berlin, Germany	Prague, Czech Republic	349458	13533
Prague, Czech Republic	Amsterdam, Netherlands	875806	30999
Prague, Czech Republic	Keukenhof, Stationsweg, Lisse, Netherlands	905123	31771
Edinburgh, United Kingdom	Prague, Czech Republic	1898675	69704
Inverness, United Kingdom	Prague, Czech Republic	2194920	78973
Ballybunion, Ireland	Prague, Czech Republic	2165091	85058
Prague, Czech Republic	Cliffs of Moher, Clare, Ireland	2163100	84894
Cornwall, England	Prague, Czech Republic	1673804	61028
Stonehenge, Amesbury, United Kingdom	Prague, Czech Republic	1395033	49971
London, United Kingdom	Prague, Czech Republic	1271348	47004
Brussels, Belgium	Prague, Czech Republic	898122	31248
Prague, Czech Republic	Paris, France	1030326	35090
Pamplona, Spain	Prague, Czech Republic	1840961	63869
Lagos, Portugal	Prague, Czech Republic	2931044	97353
Granada, Spain	Prague, Czech Republic	2589477	85006
Ibiza, Spain	Prague, Czech Republic	2281362	80828
Barcelona, Spain	Prague, Czech Republic	1714254	57794
Prague, Czech Republic	Luberone, Bonnieux, France	1339812	45906
Prague, Czech Republic	Nice, France	1179882	43354
Prague, Czech Republic	Monte Carlo, Monaco	1165913	42972
Interlaken, Switzerland	Prague, Czech Republic	808988	29757
Jägala Waterfall, 74205 Harjumaa, Estonia	Krakow, Poland	1372121	60235
Lapland, Finland	Krakow, Poland	2434530	113443
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Krakow, Poland	2900676	112924
Bergen, Norway	Krakow, Poland	2042780	87405
Copenhagen, Denmark	Krakow, Poland	1032715	43315
Berlin, Germany	Krakow, Poland	598877	21368
Amsterdam, Netherlands	Krakow, Poland	1218081	42077
Krakow, Poland	Keukenhof, Stationsweg, Lisse, Netherlands	1247397	42848
Edinburgh, United Kingdom	Krakow, Poland	2303849	82555
Inverness, United Kingdom	Krakow, Poland	2600094	91824
Ballybunion, Ireland	Krakow, Poland	2570265	97910
Cliffs of Moher, Clare, Ireland	Krakow, Poland	2568274	97745
Cornwall, England	Krakow, Poland	2078978	73879
Stonehenge, Amesbury, United Kingdom	Krakow, Poland	1800208	62822
London, United Kingdom	Krakow, Poland	1676522	59855
Brussels, Belgium	Krakow, Poland	1303296	44099
Krakow, Poland	Paris, France	1539622	50921
Pamplona, Spain	Krakow, Poland	2423368	79510
Lagos, Portugal	Krakow, Poland	3513451	112994
Granada, Spain	Krakow, Poland	3128718	102508
Ibiza, Spain	Krakow, Poland	2820602	98330
Barcelona, Spain	Krakow, Poland	2253494	75295
Luberone, Bonnieux, France	Krakow, Poland	1879052	63408
Nice, France	Krakow, Poland	1628363	57251
Monte Carlo, Monaco	Krakow, Poland	1614394	56869
Interlaken, Switzerland	Krakow, Poland	1363293	47494
Lapland, Finland	Jägala Waterfall, 74205 Harjumaa, Estonia	1119389	56119
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Jägala Waterfall, 74205 Harjumaa, Estonia	1201167	57919
Bergen, Norway	Jägala Waterfall, 74205 Harjumaa, Estonia	1417751	100538
Jägala Waterfall, 74205 Harjumaa, Estonia	Copenhagen, Denmark	1106947	78668
Berlin, Germany	Jägala Waterfall, 74205 Harjumaa, Estonia	1559521	65667
Jägala Waterfall, 74205 Harjumaa, Estonia	Amsterdam, Netherlands	2178349	86344
Jägala Waterfall, 74205 Harjumaa, Estonia	Keukenhof, Stationsweg, Lisse, Netherlands	2207666	87116
Edinburgh, United Kingdom	Jägala Waterfall, 74205 Harjumaa, Estonia	3254384	127294
Inverness, United Kingdom	Jägala Waterfall, 74205 Harjumaa, Estonia	3550629	136563
Ballybunion, Ireland	Jägala Waterfall, 74205 Harjumaa, Estonia	3520800	142649
Jägala Waterfall, 74205 Harjumaa, Estonia	Cliffs of Moher, Clare, Ireland	3518809	142484
Cornwall, England	Jägala Waterfall, 74205 Harjumaa, Estonia	3029513	118618
Stonehenge, Amesbury, United Kingdom	Jägala Waterfall, 74205 Harjumaa, Estonia	2750743	107561
London, United Kingdom	Jägala Waterfall, 74205 Harjumaa, Estonia	2627057	104594
Brussels, Belgium	Jägala Waterfall, 74205 Harjumaa, Estonia	2278991	89675
Jägala Waterfall, 74205 Harjumaa, Estonia	Paris, France	2578539	99311
Pamplona, Spain	Jägala Waterfall, 74205 Harjumaa, Estonia	3508158	127709
Lagos, Portugal	Jägala Waterfall, 74205 Harjumaa, Estonia	4598241	161193
Granada, Spain	Jägala Waterfall, 74205 Harjumaa, Estonia	4213508	150707
Ibiza, Spain	Jägala Waterfall, 74205 Harjumaa, Estonia	3905392	146529
Barcelona, Spain	Jägala Waterfall, 74205 Harjumaa, Estonia	3338284	123495
Jägala Waterfall, 74205 Harjumaa, Estonia	Luberone, Bonnieux, France	2963842	111607
Jägala Waterfall, 74205 Harjumaa, Estonia	Nice, France	2818977	109290
Jägala Waterfall, 74205 Harjumaa, Estonia	Monte Carlo, Monaco	2805008	108908
Interlaken, Switzerland	Jägala Waterfall, 74205 Harjumaa, Estonia	2448083	95693
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Lapland, Finland	428527	19370
Bergen, Norway	Lapland, Finland	1932947	88419
Lapland, Finland	Copenhagen, Denmark	1991522	77170
Berlin, Germany	Lapland, Finland	2418466	99041
Lapland, Finland	Amsterdam, Netherlands	2770565	107608
Lapland, Finland	Keukenhof, Stationsweg, Lisse, Netherlands	2799882	108380
Edinburgh, United Kingdom	Lapland, Finland	3876154	149845
Inverness, United Kingdom	Lapland, Finland	4172399	159113
Ballybunion, Ireland	Lapland, Finland	4142570	165199
Lapland, Finland	Cliffs of Moher, Clare, Ireland	4140579	165034
Lapland, Finland	Cornwall, England	3651283	141168
Stonehenge, Amesbury, United Kingdom	Lapland, Finland	3372513	130111
London, United Kingdom	Lapland, Finland	3248827	127144
Brussels, Belgium	Lapland, Finland	2903405	112450
Lapland, Finland	Paris, France	3206588	122540
Lapland, Finland	Pamplona, Spain	4071522	151521
Lagos, Portugal	Lapland, Finland	5161606	185005
Granada, Spain	Lapland, Finland	4881766	177187
Lapland, Finland	Ibiza, Spain	4687198	175068
Barcelona, Spain	Lapland, Finland	4120090	152034
Lapland, Finland	Luberone, Bonnieux, France	3745648	140146
Lapland, Finland	Nice, France	3724059	142037
Lapland, Finland	Monte Carlo, Monaco	3710090	141656
Interlaken, Switzerland	Lapland, Finland	3264925	124636
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Bergen, Norway	1740048	80413
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Copenhagen, Denmark	1880539	71136
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Berlin, Germany	2307484	93007
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Amsterdam, Netherlands	2659583	101574
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Keukenhof, Stationsweg, Lisse, Netherlands	2688900	102346
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Edinburgh, United Kingdom	3765172	143811
Inverness, United Kingdom	ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	4061417	153079
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Ballybunion, Ireland	4031588	159165
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Cliffs of Moher, Clare, Ireland	4029597	159000
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Cornwall, England	3540301	135134
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Stonehenge, Amesbury, United Kingdom	3261530	124077
London, United Kingdom	ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	3137845	121110
Brussels, Belgium	ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	2792423	106416
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Paris, France	3095606	116506
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Pamplona, Spain	3960540	145487
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Lagos, Portugal	5050623	178971
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Granada, Spain	4770784	171153
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Ibiza, Spain	4576216	169034
Barcelona, Spain	ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	4009108	146000
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Luberone, Bonnieux, France	3634666	134112
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Nice, France	3613077	136003
ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	Monte Carlo, Monaco	3599108	135622
Interlaken, Switzerland	ICEBAR, Marknadsvägen, Jukkasjärvi, Sweden	3153943	118602
Bergen, Norway	Copenhagen, Denmark	1064739	47190
Bergen, Norway	Berlin, Germany	1449746	67592
Bergen, Norway	Amsterdam, Netherlands	1626983	73656
Bergen, Norway	Keukenhof, Stationsweg, Lisse, Netherlands	1656300	74427
Bergen, Norway	Edinburgh, United Kingdom	2732572	115892
Inverness, United Kingdom	Bergen, Norway	3028817	125160
Bergen, Norway	Ballybunion, Ireland	2998988	131246
Bergen, Norway	Cliffs of Moher, Clare, Ireland	2996997	131081
Bergen, Norway	Cornwall, England	2507701	107215
Bergen, Norway	Stonehenge, Amesbury, United Kingdom	2228931	96159
London, United Kingdom	Bergen, Norway	2105245	93191
Brussels, Belgium	Bergen, Norway	1759823	78497
Bergen, Norway	Paris, France	2063006	88587
Bergen, Norway	Pamplona, Spain	2927940	117568
Bergen, Norway	Lagos, Portugal	4018024	151052
Bergen, Norway	Granada, Spain	3738184	143234
Bergen, Norway	Ibiza, Spain	3554512	141467
Barcelona, Spain	Bergen, Norway	2987404	118432
Bergen, Norway	Luberone, Bonnieux, France	2612962	106545
Bergen, Norway	Nice, France	2591373	108436
Bergen, Norway	Monte Carlo, Monaco	2577404	108054
Interlaken, Switzerland	Bergen, Norway	2132239	91034
Berlin, Germany	Copenhagen, Denmark	438931	23309
Copenhagen, Denmark	Amsterdam, Netherlands	791030	31876
Copenhagen, Denmark	Keukenhof, Stationsweg, Lisse, Netherlands	820347	32648
Edinburgh, United Kingdom	Copenhagen, Denmark	1896619	74113
Inverness, United Kingdom	Copenhagen, Denmark	2192864	83381
Ballybunion, Ireland	Copenhagen, Denmark	2163035	89467
Copenhagen, Denmark	Cliffs of Moher, Clare, Ireland	2161044	89302
Cornwall, England	Copenhagen, Denmark	1671747	65436
Stonehenge, Amesbury, United Kingdom	Copenhagen, Denmark	1392977	54379
London, United Kingdom	Copenhagen, Denmark	1269292	51412
Brussels, Belgium	Copenhagen, Denmark	923870	36718
Copenhagen, Denmark	Paris, France	1227053	46808
Pamplona, Spain	Copenhagen, Denmark	2091987	75789
Lagos, Portugal	Copenhagen, Denmark	3182070	109273
Granada, Spain	Copenhagen, Denmark	2902231	101455
Ibiza, Spain	Copenhagen, Denmark	2707663	99336
Barcelona, Spain	Copenhagen, Denmark	2140555	76302
Copenhagen, Denmark	Luberone, Bonnieux, France	1766113	64414
Copenhagen, Denmark	Nice, France	1744524	66306
Copenhagen, Denmark	Monte Carlo, Monaco	1730554	65924
Interlaken, Switzerland	Copenhagen, Denmark	1285390	48904
Berlin, Germany	Amsterdam, Netherlands	654708	24925
Berlin, Germany	Keukenhof, Stationsweg, Lisse, Netherlands	684025	25697
Berlin, Germany	Edinburgh, United Kingdom	1730743	65876
Inverness, United Kingdom	Berlin, Germany	2026989	75144
Berlin, Germany	Ballybunion, Ireland	1997159	81230
Berlin, Germany	Cliffs of Moher, Clare, Ireland	1995168	81065
Berlin, Germany	Cornwall, England	1505872	57199
Berlin, Germany	Stonehenge, Amesbury, United Kingdom	1227102	46143
London, United Kingdom	Berlin, Germany	1103416	43175
Brussels, Belgium	Berlin, Germany	755350	28257
Berlin, Germany	Paris, France	1054898	37893
Berlin, Germany	Pamplona, Spain	1919833	66874
Berlin, Germany	Lagos, Portugal	3009916	100358
Berlin, Germany	Granada, Spain	2742907	91068
Berlin, Germany	Ibiza, Spain	2434791	86890
Barcelona, Spain	Berlin, Germany	1867683	63856
Berlin, Germany	Luberone, Bonnieux, France	1493241	51968
Berlin, Germany	Nice, France	1344539	49761
Berlin, Germany	Monte Carlo, Monaco	1330570	49379
Interlaken, Switzerland	Berlin, Germany	973645	36164
Amsterdam, Netherlands	Keukenhof, Stationsweg, Lisse, Netherlands	42093	2704
Edinburgh, United Kingdom	Amsterdam, Netherlands	1169323	45984
Inverness, United Kingdom	Amsterdam, Netherlands	1465569	55253
Ballybunion, Ireland	Amsterdam, Netherlands	1435739	61339
Amsterdam, Netherlands	Cliffs of Moher, Clare, Ireland	1433748	61174
Cornwall, England	Amsterdam, Netherlands	944452	37308
Stonehenge, Amesbury, United Kingdom	Amsterdam, Netherlands	665682	26251
London, United Kingdom	Amsterdam, Netherlands	541996	23284
Brussels, Belgium	Amsterdam, Netherlands	205233	8981
Amsterdam, Netherlands	Paris, France	522218	19234
Pamplona, Spain	Amsterdam, Netherlands	1387153	48215
Lagos, Portugal	Amsterdam, Netherlands	2477236	81699
Granada, Spain	Amsterdam, Netherlands	2197396	73881
Ibiza, Spain	Amsterdam, Netherlands	2117359	75473
Barcelona, Spain	Amsterdam, Netherlands	1550251	52439
Amsterdam, Netherlands	Luberone, Bonnieux, France	1202667	41332
Amsterdam, Netherlands	Nice, France	1407221	47343
Amsterdam, Netherlands	Monte Carlo, Monaco	1429295	48590
Interlaken, Switzerland	Amsterdam, Netherlands	886780	31674
Edinburgh, United Kingdom	Keukenhof, Stationsweg, Lisse, Netherlands	1168123	45418
Inverness, United Kingdom	Keukenhof, Stationsweg, Lisse, Netherlands	1464368	54687
Ballybunion, Ireland	Keukenhof, Stationsweg, Lisse, Netherlands	1434539	60773
Cliffs of Moher, Clare, Ireland	Keukenhof, Stationsweg, Lisse, Netherlands	1432548	60608
Cornwall, England	Keukenhof, Stationsweg, Lisse, Netherlands	943252	36742
Stonehenge, Amesbury, United Kingdom	Keukenhof, Stationsweg, Lisse, Netherlands	664482	25685
London, United Kingdom	Keukenhof, Stationsweg, Lisse, Netherlands	540796	22718
Brussels, Belgium	Keukenhof, Stationsweg, Lisse, Netherlands	204033	8415
Paris, France	Keukenhof, Stationsweg, Lisse, Netherlands	521018	18668
Pamplona, Spain	Keukenhof, Stationsweg, Lisse, Netherlands	1385952	47649
Lagos, Portugal	Keukenhof, Stationsweg, Lisse, Netherlands	2476036	81133
Granada, Spain	Keukenhof, Stationsweg, Lisse, Netherlands	2196196	73315
Ibiza, Spain	Keukenhof, Stationsweg, Lisse, Netherlands	2116159	74907
Barcelona, Spain	Keukenhof, Stationsweg, Lisse, Netherlands	1549051	51873
Luberone, Bonnieux, France	Keukenhof, Stationsweg, Lisse, Netherlands	1201466	40766
Nice, France	Keukenhof, Stationsweg, Lisse, Netherlands	1406021	46777
Monte Carlo, Monaco	Keukenhof, Stationsweg, Lisse, Netherlands	1428095	48024
Interlaken, Switzerland	Keukenhof, Stationsweg, Lisse, Netherlands	914348	31972
Inverness, United Kingdom	Edinburgh, United Kingdom	251539	11941
Ballybunion, Ireland	Edinburgh, United Kingdom	746535	37216
Edinburgh, United Kingdom	Cliffs of Moher, Clare, Ireland	744544	37051
Edinburgh, United Kingdom	Cornwall, England	857784	32475
Edinburgh, United Kingdom	Stonehenge, Amesbury, United Kingdom	645938	26428
London, United Kingdom	Edinburgh, United Kingdom	666441	26660
Brussels, Belgium	Edinburgh, United Kingdom	996513	39773
Edinburgh, United Kingdom	Paris, France	1092900	42715
Edinburgh, United Kingdom	Pamplona, Spain	1961016	71486
Lagos, Portugal	Edinburgh, United Kingdom	3051100	104970
Granada, Spain	Edinburgh, United Kingdom	2771260	97152
Edinburgh, United Kingdom	Ibiza, Spain	2688041	98954
Barcelona, Spain	Edinburgh, United Kingdom	2120933	75919
Edinburgh, United Kingdom	Luberone, Bonnieux, France	1833476	65846
Edinburgh, United Kingdom	Nice, France	2038030	71857
Edinburgh, United Kingdom	Monte Carlo, Monaco	2060104	73104
Interlaken, Switzerland	Edinburgh, United Kingdom	1702524	62443
Inverness, United Kingdom	Ballybunion, Ireland	942990	44750
Inverness, United Kingdom	Cliffs of Moher, Clare, Ireland	940999	44585
Inverness, United Kingdom	Cornwall, England	1105693	40777
Inverness, United Kingdom	Stonehenge, Amesbury, United Kingdom	893846	34730
Inverness, United Kingdom	London, United Kingdom	914350	34962
Inverness, United Kingdom	Brussels, Belgium	1251704	49074
Inverness, United Kingdom	Paris, France	1348091	52016
Inverness, United Kingdom	Pamplona, Spain	2216207	80787
Inverness, United Kingdom	Lagos, Portugal	3306290	114271
Inverness, United Kingdom	Granada, Spain	3026450	106453
Inverness, United Kingdom	Ibiza, Spain	2943232	108254
Inverness, United Kingdom	Barcelona, Spain	2376124	85220
Inverness, United Kingdom	Luberone, Bonnieux, France	2088666	75147
Inverness, United Kingdom	Nice, France	2293221	81158
Inverness, United Kingdom	Monte Carlo, Monaco	2315295	82405
Inverness, United Kingdom	Interlaken, Switzerland	1957714	71744
Ballybunion, Ireland	Cliffs of Moher, Clare, Ireland	154661	8384
Ballybunion, Ireland	Cornwall, England	1077592	46694
Ballybunion, Ireland	Stonehenge, Amesbury, United Kingdom	865746	40647
London, United Kingdom	Ballybunion, Ireland	886249	40879
Brussels, Belgium	Ballybunion, Ireland	1250014	55197
Ballybunion, Ireland	Paris, France	1346401	58138
Ballybunion, Ireland	Pamplona, Spain	2214517	86909
Ballybunion, Ireland	Lagos, Portugal	3304600	120394
Ballybunion, Ireland	Granada, Spain	3024760	112576
Ballybunion, Ireland	Ibiza, Spain	2941542	114377
Barcelona, Spain	Ballybunion, Ireland	2374434	91343
Ballybunion, Ireland	Luberone, Bonnieux, France	2086977	81270
Ballybunion, Ireland	Nice, France	2291531	87281
Ballybunion, Ireland	Monte Carlo, Monaco	2313605	88527
Interlaken, Switzerland	Ballybunion, Ireland	1956024	77866
Cornwall, England	Cliffs of Moher, Clare, Ireland	1075801	46513
Stonehenge, Amesbury, United Kingdom	Cliffs of Moher, Clare, Ireland	863954	40466
London, United Kingdom	Cliffs of Moher, Clare, Ireland	884458	40698
Brussels, Belgium	Cliffs of Moher, Clare, Ireland	1248222	55015
Cliffs of Moher, Clare, Ireland	Paris, France	1344609	57957
Pamplona, Spain	Cliffs of Moher, Clare, Ireland	2212725	86728
Lagos, Portugal	Cliffs of Moher, Clare, Ireland	3302809	120212
Granada, Spain	Cliffs of Moher, Clare, Ireland	3022969	112394
Ibiza, Spain	Cliffs of Moher, Clare, Ireland	2939750	114195
Barcelona, Spain	Cliffs of Moher, Clare, Ireland	2372642	91161
Luberone, Bonnieux, France	Cliffs of Moher, Clare, Ireland	2085185	81088
