waypoint1	waypoint2	distance_m	duration_s
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Craters of the Moon National Monument & Preserve, Arco, ID	3987335	135057
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1684999	56119
White House, Pennsylvania Avenue Northwest, Washington, DC	New Castle Historic District, Delaware	178376	7186
Cape Canaveral, FL	New Castle Historic District, Delaware	1578823	50557
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	New Castle Historic District, Delaware	1300170	42926
Craters of the Moon National Monument & Preserve, Arco, ID	New Castle Historic District, Delaware	3793774	128610
Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	New Castle Historic District, Delaware	1382740	46881
Cape Canaveral, FL	White House, Pennsylvania Avenue Northwest, Washington, DC	1392925	44346
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	White House, Pennsylvania Avenue Northwest, Washington, DC	1114272	36715
Craters of the Moon National Monument & Preserve, Arco, ID	White House, Pennsylvania Avenue Northwest, Washington, DC	3677449	124973
White House, Pennsylvania Avenue Northwest, Washington, DC	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1266414	43243
Cape Canaveral, FL	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	383254	13098
Cape Canaveral, FL	Craters of the Moon National Monument & Preserve, Arco, ID	4131614	137773
Cape Canaveral, FL	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1787584	57332
Craters of the Moon National Monument & Preserve, Arco, ID	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	3750613	127967
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1406582	47526
Craters of the Moon National Monument & Preserve, Arco, ID	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2438233	84235
